Project,full_name,Project Type
Audiovisual Perception of Emotion and Speech in Hearing Individuals and Cochlear Implant Users,Christian Dobel,Main Project
Audiovisual Perception of Emotion and Speech in Hearing Individuals and Cochlear Implant Users,Volker Gast,Main Project
Audiovisual Perception of Emotion and Speech in Hearing Individuals and Cochlear Implant Users,Stefan R. Schweinberger,Main Project
Audiovisual Perception of Emotion and Speech in Hearing Individuals and Cochlear Implant Users,Celina Isabelle von Eiff,Main Project
Co-speech Gestures and Prosody as Multimodal Markers of Information Structure,Alina Gregori,Main Project
Co-speech Gestures and Prosody as Multimodal Markers of Information Structure,Frank Kügler,Main Project
Co-speech Gestures and Prosody as Multimodal Markers of Information Structure,Pilar Prieto,Main Project
Co-speech Gestures and Prosody as Multimodal Markers of Information Structure,Paula G. Sánchez Ramón,Main Project
Compositional structures in chimpanzee gestural communication,Federica Amici,Main Project
Compositional structures in chimpanzee gestural communication,Katja Liebal,Main Project
Compositional structures in chimpanzee gestural communication,Linda Oña,Main Project
Compositional structures in chimpanzee gestural communication,Chiara Zulberti,Main Project
Exploring the Limits of Simultaneity: Encoding Caused Change-of-state Events with Classifier Constructions in German Sign Language (DGS),Cornelia Loos,Main Project
Gestures and Diagrams in Visual-Spatial Communication: Methodological Tools and Applications in Mathematics and Logic,Reetu Bhattacharjee,Main Project
Gestures and Diagrams in Visual-Spatial Communication: Methodological Tools and Applications in Mathematics and Logic,Jens Lemanski,Main Project
Gestures and Diagrams in Visual-Spatial Communication: Methodological Tools and Applications in Mathematics and Logic,Andrea Reichenberger,Main Project
Gestures or Signs? Comparing Manual and Non-manual Constructions Sharing the Same Form in Co-speech Gesture and Sign Language: A Corpus-driven Approach. (GeSi),Anastasia Bauer,Main Project
Gestures or Signs? Comparing Manual and Non-manual Constructions Sharing the Same Form in Co-speech Gesture and Sign Language: A Corpus-driven Approach. (GeSi),Anna Kuder,Main Project
Iconic Metaphors and the Gesture-sign Interface in German Sign Language – Corpus Data Meet Experiments (IMaGeS),Natalia Filatkina,Main Project
Iconic Metaphors and the Gesture-sign Interface in German Sign Language – Corpus Data Meet Experiments (IMaGeS),Annika Herrmann,Main Project
Iconic Metaphors and the Gesture-sign Interface in German Sign Language – Corpus Data Meet Experiments (IMaGeS),Sarah Schwarzenberg,Main Project
"Lying, deceiving, misleading: are we committed to our gestures?",Mailin Ines Antomo,Main Project
"Lying, deceiving, misleading: are we committed to our gestures?",Jonas Hartke,Main Project
"Lying, deceiving, misleading: are we committed to our gestures?",Yuqiu Chen,Main Project
Modality-Specific Effects on Language Processing in Children with Developmental Language Disorder,Carina Lüke,Main Project
Modality-Specific Effects on Language Processing in Children with Developmental Language Disorder,Simone Schäffner,Main Project
Modality-Specific Effects on Language Processing in Children with Developmental Language Disorder,Vera Wolfrum,Main Project
Multimodal Assessment of Dyadic Interaction in Disorders of Social Interaction,Martin Schulte-Rüther,Main Project
"On the FLExibility and Stability of Gesture-speecH Coordination (FLESH): Evidence from Production, Comprehension, and Imitation",Aleksandra Ćwiek,Main Project
"On the FLExibility and Stability of Gesture-speecH Coordination (FLESH): Evidence from Production, Comprehension, and Imitation",Susanne Fuchs,Main Project
"On the FLExibility and Stability of Gesture-speecH Coordination (FLESH): Evidence from Production, Comprehension, and Imitation",Šárka Kadavá,Main Project
"On the FLExibility and Stability of Gesture-speecH Coordination (FLESH): Evidence from Production, Comprehension, and Imitation",Wim Pouw,Main Project
Parts of Speech and Iconicity in German Sign Language (DGS),Thomas Finkbeiner,Main Project
Parts of Speech and Iconicity in German Sign Language (DGS),Nina-Kristin Meister,Main Project
Parts of Speech and Iconicity in German Sign Language (DGS),Markus Steinbach,Main Project
Parts of Speech and Iconicity in German Sign Language (DGS),Patrick Trettenbrein,Main Project
Parts of Speech and Iconicity in German Sign Language (DGS),Emiliano Zaccarella,Main Project
Pragmatic reasoning with (non-)visual alternatives,Nadine Bade,Main Project
Processes of Stabilization in Gestures. A Media-specific and Cross-modal Approach,Silva Ladewig,Main Project
Representation of Pointing Uncertainty for the Integration of Pointing Gestures and Speech,Oliver Herbort,Main Project
Representation of Pointing Uncertainty for the Integration of Pointing Gestures and Speech,Lisa-Marie Krause,Main Project
Semantics and Pragmatics of Emojis in Digital Communication (EmDiCom),Patrick Georg Grosz,Main Project
