Researcher,Year,Type,Title,Abstract,Source,Authors,Database Affiliation,Publication Institutions,Matched Affiliation,Topic,Review Flag
Federica Amici,2018.0,article,Social inhibition and behavioural flexibility when the context changes: a comparison across six primate species,"The ability to inhibit previously employed strategies and flexibly adjust behavioural responses to external conditions may be critical for individual survival. However, it is unclear which factors predict their distribution across species. Here, we investigated social inhibition and behavioural flexibility in six primate species (chimpanzees, bonobos, orangutans, gorillas, capuchin monkeys and spider monkeys) differing in terms of phylogenetic relatedness, foraging ecology and social organization. Depending on the social context, individuals could maximize their food intake by inhibiting the selection of a larger food reward in one condition (i.e. inhibition), but not in others, which required them to flexibly switching strategies across conditions (i.e. behavioural flexibility). Overall, our study revealed inter-specific differences in social inhibition and behavioural flexibility, which partially reflected differences in fission-fusion dynamics. In particular, orangutans and chimpanzees showed the highest level of inhibitory skills, while gorillas and capuchin monkeys showed the lowest one. In terms of behavioural flexibility, orangutans and spider monkeys were the best performers, while bonobos and capuchin monkeys were the worst ones. These results contribute to our understanding that inhibition and behavioural flexibility may be linked in more complex ways than usually thought, although both abilities play a crucial role in efficient problem solving.","<a href=""https://openalex.org/W2790575311"" target=""_blank"">OpenAlex</a>","Federica Amici, Josep Call, Julia Watzek, Sarah F. Brosnan, Filippo Aureli",University of Leipzig,"Leipzig University, Max Planck Institute for Evolutionary Anthropology, Georgia State University, Georgia State University, Universidad Veracruzana",No,Primate Behavior and Ecology,Yes
Federica Amici,2019.0,article,A meta-analysis of interindividual differences in innovation,Abstract not available,"<a href=""https://openalex.org/W2969833551"" target=""_blank"">OpenAlex</a>","Federica Amici, Anja Widdig, Julia Lehmann, Bonaventura Majolo",University of Leipzig,"Max Planck Institute for Evolutionary Anthropology, Leipzig University, Leipzig University, Max Planck Institute for Evolutionary Anthropology, University of Roehampton, University of Lincoln",No,Primate Behavior and Ecology,Yes
Federica Amici,2022.0,article,"The social dynamics of complex gestural communication in great and lesser apes ( <i>Pan troglodytes</i> , <i>Pongo abelii, Symphalangus syndactylus</i> )","Gestures play an essential role in primate communication. However, little is known about how complexity of gestural use (in terms of repertoire size, intentional use, flexibility and use of gestural sequences) relates to individual and dyadic measures of sociality and whether more complex gestural use is more effective in eliciting a response. We observed 19 captive chimpanzees ( Pan troglodytes ), 16 Sumatran orangutans ( Pongo abelii ) and 18 siamangs ( Symphalangus syndactylus ) to assess the complexity and effectiveness of their gestural use. We found that, beyond interspecies variation, the number of gesture types used in a dyad was higher when individuals had stronger social bonds; the probability of accounting for others' attention increased with age, especially for visual gestures; and sequences were more likely used by younger or socially less integrated individuals. In terms of effectiveness, older individuals and those using fewer sequences were more likely to be responded to, while across dyads, the probability of obtaining a response was higher when both individuals accounted for the other's attention and when they used fewer sequences. Overall, this confirms the link between sociality and complex gestural use and suggests that more complex forms of communication, at least in terms of intentional use, may be more effective at achieving communicative goals. This article is part of the theme issue ‘Cognition, communication and social bonds in primates’.","<a href=""https://openalex.org/W4290616153"" target=""_blank"">OpenAlex</a>","Federica Amici, Katja Liebal",University of Leipzig,"Max Planck Institute for Evolutionary Anthropology, Leipzig University, Leipzig University",No,Primate Behavior and Ecology,Yes
Federica Amici,2023.0,article,Innovation across 13 ungulate species: problem solvers are less integrated in the social group and less neophobic,"Innovation is the ability to solve new problems or find novel solutions to familiar problems, and it is known to provide animals with crucial fitness benefits. Although this ability has been extensively studied in some taxa, the factors that predict innovation within and across species are still largely unclear. In this study, we used a novel foraging task to test 111 individuals belonging to 13 ungulate species-a still understudied taxon. To solve the task, individuals had to open transparent and opaque cups with food rewards, by removing their cover. We assessed whether individual factors (neophobia, social integration, sex, age, rank) and socio-ecological factors (dietary breadth, fission-fusion dynamics, domestication, group size) predicted participation and performance in the task. Using a phylogenetic approach, we showed that success was higher for less neophobic and socially less integrated individuals. Moreover, less neophobic individuals, individuals of domesticated species and having higher fission-fusion dynamics were more likely to participate in the task. These results are in line with recent literature suggesting a central role of sociality and personality traits to successfully deal with novel challenges, and confirm ungulates as a promising taxon to test evolutionary theories with a comparative approach.","<a href=""https://openalex.org/W4362537521"" target=""_blank"">OpenAlex</a>","Álvaro L. Caicoya, Alina Schaffer, Ruben Holland, Lorenzo von Fersen, Montserrat Colell, Federica Amici",University of Leipzig,"Universitat de Barcelona, Leipzig University, Leipzig University, Max Planck Institute for Evolutionary Anthropology, Universitat de Barcelona, Leipzig University, Max Planck Institute for Evolutionary Anthropology, Nuremberg Hospital",No,Primate Behavior and Ecology,Yes
Federica Amici,2019.0,article,The ability to recognize dog emotions depends on the cultural milieu in which we grow up,"Inter-specific emotion recognition is especially adaptive when species spend a long time in close association, like dogs and humans. Here, we comprehensively studied the human ability to recognize facial expressions associated with dog emotions (hereafter, emotions). Participants were presented with pictures of dogs, humans and chimpanzees, showing angry, fearful, happy, neutral and sad emotions, and had to assess which emotion was shown, and the context in which the picture had been taken. Participants were recruited among children and adults with different levels of general experience with dogs, resulting from different personal (i.e. dog ownership) and cultural experiences (i.e. growing up or being exposed to a cultural milieu in which dogs are highly valued and integrated in human lives). Our results showed that some dog emotions such as anger and happiness are recognized from early on, independently of experience. However, the ability to recognize dog emotions is mainly acquired through experience. In adults, the probability of recognizing dog emotions was higher for participants grown up in a cultural milieu with a positive attitude toward dogs, which may result in different passive exposure, interest or inclination toward this species.","<a href=""https://openalex.org/W2985626744"" target=""_blank"">OpenAlex</a>","Federica Amici, James O. Waterman, Christina Maria Kellermann, Karimullah Karimullah, Juliane Bräuer",University of Leipzig,"Max Planck Institute for Evolutionary Anthropology, University of Lincoln, Leipzig University, Leipzig University, Max Planck Institute for the Science of Human History",No,Human-Animal Interaction Studies,Yes
Federica Amici,2019.0,article,The word order of languages predicts native speakers’ working memory,"The relationship between language and thought is controversial. One hypothesis is that language fosters habits of processing information that are retained even in non-linguistic domains. In left-branching (LB) languages, modifiers usually precede the head, and real-time sentence comprehension may more heavily rely on retaining initial information in working memory. Here we presented a battery of working memory and short-term memory tasks to adult native speakers of four LB and four right-branching (RB) languages from Africa, Asia and Europe. In working memory tasks, LB speakers were better than RB speakers at recalling initial stimuli, but worse at recalling final stimuli. Our results show that the practice of parsing sentences in specific directions due to the syntax and word order of our native language not only predicts the way we remember words, but also other non-linguistic stimuli.","<a href=""https://openalex.org/W2914890743"" target=""_blank"">OpenAlex</a>","Federica Amici, Alejandro Sánchez-Amaro, Carla Sebastián‐Enesco, Trix Cacchione, Matthias Allritz, Juan Salazar-Bonet, Federico Rossano",University of Leipzig,"Max Planck Institute for Evolutionary Anthropology, Max Planck Institute for Evolutionary Anthropology, ISPA - Instituto Universitário, University of Bern, Max Planck Institute for Evolutionary Anthropology, Florida State University, University of California, San Diego",No,Neurobiology of Language and Bilingualism,Yes
Federica Amici,2020.0,article,"Experience has a limited effect on humans’ ability to predict the outcome of social interactions in children, dogs and macaques","The ability to predict others' behaviour represents a crucial mechanism which allows individuals to react faster and more appropriately. To date, several studies have investigated humans' ability to predict conspecifics' behaviour, but little is known on our ability to predict behaviour in other species. Here, we aimed to test humans' ability to predict social behaviour in dogs, macaques and humans, and assess the role played by experience and evolution on the emergence of this ability. For this purpose, we presented participants with short videoclips of real-life social interactions in dog, child and macaque dyads, and then asked them to predict the outcome of the observed interactions (i.e. aggressive, neutral or playful). Participants were selected according to their previous species-specific experience with dogs, children and non-human primates. Our results showed a limited effect of experience on the ability to predict the outcome of social interactions, which was mainly restricted to macaques. Moreover, we found no support to the co-domestication hypothesis, in that participants were not especially skilled at predicting dog behaviour. Finally, aggressive outcomes in dogs were predicted significantly worse than playful or neutral ones. Based on our findings, we suggest possible lines for future research, like the inclusion of other primate species and the assessment of cultural factors on the ability to predict behaviour across species.","<a href=""https://openalex.org/W3108823513"" target=""_blank"">OpenAlex</a>","Sasha Donnier, Gyula Kovács, Linda Oña, Juliane Bräuer, Federica Amici",University of Leipzig,"University of Girona, Friedrich Schiller University Jena, Max Planck Institute for Human Development, Max Planck Institute for the Science of Human History, Max Planck Institute for Evolutionary Anthropology",No,Human-Animal Interaction Studies,Yes
Federica Amici,2022.0,article,Compositionality in Primate Gestural Communication and Multicomponent Signal Displays,"Compositionality is the ability to combine meaningful elements into new combinations with novel meanings, and it has long been considered one of the main hallmarks of human communication. However, very few studies have addressed the compositional aspects of communication in species other than humans, although a comparative approach is essential to understand the evolutionary origins of human compositionality. We review previous research on compositionality in the gestural communication systems of nonhuman primates, with a special focus on the multicomponent aspects of compositionality. We start by discussing the importance of a comparative approach to study the evolution of human language and then compare the current state of the art on compositionality in the vocal, facial, and gestural communication systems of primates and other species. We further discuss alternative approaches to study compositionality in primates, which may help overcome some of the current methodological limitations in this research area. In particular, we 1) highlight the importance of interdisciplinary tools that facilitate the statistical identification of multicomponent and multimodal combinations of signals, 2) discuss different approaches to infer the meaning of signal combinations, with a special focus on the use of contextual cues and meta-communication, and 3) discuss temporal and intentional aspects of compositionality in primates. Finally, we outline possible lines of research for future studies in this area (e.g., more consistent use of terms across research areas, use of different methodological tools and larger datasets, inclusion of developmental approaches), which might shed light into the evolutionary origins of one of the most crucial properties of human communication.","<a href=""https://openalex.org/W4288096197"" target=""_blank"">OpenAlex</a>","Federica Amici, Linda Oña, Katja Liebal",University of Leipzig,"Leipzig University, Max Planck Institute for Human Development, Leipzig University",No,Animal Vocal Communication and Behavior,Yes
Federica Amici,2023.0,article,Yawning and scratching contagion in wild spider monkeys (Ateles geoffroyi),"Behavioural contagion is a widespread phenomenon in animal species, which is thought to promote coordination and group cohesion. Among non-human primates, however, there is no evidence of behavioural contagion in Platyrrhines (i.e. primates from South and Central America) yet. Here, we investigated whether behavioural contagion is also present in this taxon, by assessing yawning and scratching contagion in a wild group (N = 49) of Geoffroy’s spider monkeys ( Ateles geoffroyi ). We conducted focal samples to examine whether individuals observing the triggering event (i.e. a naturally occurring yawning or scratching event in the group) would be more likely to yawn or scratch in the following 3 min, as compared to individuals who did not observe the triggering event. We ran generalized linear mixed models using a Bayesian approach, and found that the probability of yawning and scratching was higher for individuals observing others yawning and scratching, respectively, as compared to individuals who did not observe such an event. Behavioural contagion did not vary depending on the observer’s sex, kinship or relationship quality with the individual performing the triggering event. These findings provide the first evidence for yawning and scratching contagion in a wild group of spider monkeys, and importantly contribute to the debate about the evolutionary origins of behavioural contagion in primates.","<a href=""https://openalex.org/W4378172550"" target=""_blank"">OpenAlex</a>","Sara Valdivieso‐Cortadella, Chiara Bernardi‐Gómez, Filippo Aureli, Miquel Llorente, Federica Amici",University of Leipzig,"University of Girona, University of Girona, Universidad Veracruzana, University of Girona, Leipzig University",No,Primate Behavior and Ecology,Yes
Federica Amici,2024.0,article,A longitudinal comparison of maternal behaviour in German urban humans (Homo sapiens) and captive chimpanzees (Pan troglodytes),"Comparative perspectives are crucial in the study of human development, yet longitudinal comparisons of humans and other primates are still relatively uncommon. Here, we combined theoretical frameworks from cross-cultural and comparative psychology, to study maternal style in 10 mother–infant pairs of German urban humans ( Homo sapiens ) and 10 mother–infant pairs of captive chimpanzees ( Pan troglodytes ), during the first year of infants’ development. We conducted focal observations of different behaviours (i.e. nursing, carrying, body contact, touching, grooming, restraining, approaching, leaving, rejection, aggression, mutual gaze, object stimulation), during natural interactions. Analyses revealed a more distal maternal style in WEIRD humans than in captive chimpanzees, with different behaviours being generally more common in one of the two species throughout development. For other behaviours (i.e. nursing), developmental trajectories differed between WEIRD humans and captive chimpanzees, although differences generally decreased through infants’ development. Overall, our study confirms functional approaches as a valid tool for comparative longitudinal studies.","<a href=""https://openalex.org/W4390941936"" target=""_blank"">OpenAlex</a>","Federica Amici, Katja Liebal, Manuela Ersson-Lembeck, Manfred Holodynski",University of Leipzig,"Leipzig University, Leipzig University, Freie Universität Berlin, University of Münster",No,Primate Behavior and Ecology,Yes
