Researcher_A,Researcher_B,Shared_synergies_count,Shared_synergies
Aleksandra Ćwiek,Frank Kügler,6,cognitive science; data analysis methods; eeg; linear mixed-effects models; mri; multimodal communication
Aleksandra Ćwiek,Marion Bonnet,6,cognitive science; data analysis methods; eeg; linear mixed-effects models; mri; multimodal communication
Aleksandra Ćwiek,Carly A. Anderson,5,data analysis methods; eeg; iconicity; mri; prosodic prominence
Aleksandra Ćwiek,Marianthi Koraka,5,eeg; linear mixed-effects models; mri; production experiments; prosodic prominence
Aleksandra Ćwiek,Oliver Herbort,5,eeg; iconicity; linear mixed-effects models; mri; multimodal communication
Aleksandra Ćwiek,Petra Schumacher,5,data analysis methods; iconicity; linear mixed-effects models; mri; multimodal communication
Aleksandra Ćwiek,Sebastian Walter,5,cognitive science; data analysis methods; eeg; linear mixed-effects models; mri
Aleksandra Ćwiek,Silva Ladewig,5,eeg; iconicity; linear mixed-effects models; mri; multimodal communication
Aleksandra Ćwiek,Šárka Kadavá,5,bayesian analysis; biomechanical coupling; cognitive science; data analysis methods; prosodic prominence
Aleksandra Ćwiek,Cornelia Loos,4,eeg; iconicity; linear mixed-effects models; mri
Aleksandra Ćwiek,Katja Liebal,4,data analysis methods; language evolution; linear mixed-effects models; mri
Aleksandra Ćwiek,Lea Fricke,4,bayesian analysis; eeg; linear mixed-effects models; mri
Aleksandra Ćwiek,Linda Oña,4,data analysis methods; eeg; linear mixed-effects models; mri
Aleksandra Ćwiek,Markus Steinbach,4,cognitive science; data analysis methods; eeg; linear mixed-effects models
Aleksandra Ćwiek,Matteo Maran,4,data analysis methods; eeg; linear mixed-effects models; mri
Aleksandra Ćwiek,Nina-Kristin Meister,4,cognitive science; data analysis methods; mri; multimodal communication
Aleksandra Ćwiek,Patrick Georg Grosz,4,cognitive science; eeg; linear mixed-effects models; mri
Aleksandra Ćwiek,Patrick Trettenbrein,4,eeg; linear mixed-effects models; mri; multimodal communication
Aleksandra Ćwiek,Pia Gehlbach,4,cognitive science; eeg; production experiments; prosodic prominence
Aleksandra Ćwiek,Sarah Schwarzenberg,4,eeg; linear mixed-effects models; mri; prosodic prominence
Aleksandra Ćwiek,Susan Goldin-Meadow,4,data analysis techniques; eeg; mri; multimodal communication
Aleksandra Ćwiek,Thomas Finkbeiner,4,data analysis methods; eeg; linear mixed-effects models; mri
Aleksandra Ćwiek,Vinicius Macuch,4,data analysis methods; language evolution; linear mixed-effects models; multimodal communication
Aleksandra Ćwiek,Anna Kuder,3,eeg; linear mixed-effects models; mri
Aleksandra Ćwiek,Babajide Owoyele,3,data analysis methods; linear mixed-effects models; research methods
Aleksandra Ćwiek,Cornelia Ebert,3,eeg; linear mixed-effects models; mri
Aleksandra Ćwiek,Ingmar Brilmayer,3,iconicity; language evolution; linear mixed-effects models
Aleksandra Ćwiek,Jana Bressem,3,eeg; mri; multimodal communication
Aleksandra Ćwiek,Jens Lemanski,3,cognitive science; eeg; linear mixed-effects models
Aleksandra Ćwiek,Jonas Hartke,3,cognitive science; data analysis methods; research methods
Aleksandra Ćwiek,Nadine Bade,3,cognitive science; data analysis methods; linear mixed-effects models
Aleksandra Ćwiek,Pamela Perniss,3,data analysis methods; linear mixed-effects models; multimodal communication
Aleksandra Ćwiek,Paula G. Sánchez Ramón,3,linear mixed-effects models; mri; multimodal communication
Aleksandra Ćwiek,Philippe Schlenker,3,cognitive science; linear mixed-effects models; mri
Aleksandra Ćwiek,Reetu Bhattacharjee,3,cognition; machine learning; multimodal communication
Aleksandra Ćwiek,Stefan R. Schweinberger,3,cognitive science; data analysis methods; research methods
Aleksandra Ćwiek,Susanne Fuchs,3,language evolution; language families; multimodal communication
Aleksandra Ćwiek,Volker Gast,3,cognitive science; mri; prosodic prominence
Aleksandra Ćwiek,Wim Pouw,3,cognitive science; linear mixed-effects models; multimodal communication
Aleksandra Ćwiek,Yuqiu Chen,3,eeg; linear mixed-effects models; mri
Aleksandra Ćwiek,Alexander Mehler,2,cognitive science; language evolution
Aleksandra Ćwiek,Anastasia Bauer,2,cognitive science; machine learning
Aleksandra Ćwiek,Andy Lücking,2,cognitive science; multimodal communication
Aleksandra Ćwiek,Annika Herrmann,2,linear mixed-effects models; prosodic prominence
Aleksandra Ćwiek,Christian Dobel,2,linear mixed-effects models; prosodic prominence
Aleksandra Ćwiek,Door Spruijt,2,cognitive science; language evolution
Aleksandra Ćwiek,Emiliano Zaccarella,2,eeg; linear mixed-effects models
Aleksandra Ćwiek,Mailin Ines Antomo,2,linear mixed-effects models; mri
Aleksandra Ćwiek,Martin Schulte-Rüther,2,machine learning; random forest
Aleksandra Ćwiek,Pilar Prieto,2,linear mixed-effects models; multimodal communication
Aleksandra Ćwiek,Stefan Hinterwimmer,2,cognitive science; iconicity
Aleksandra Ćwiek,Alexander Henlein,1,mri
Aleksandra Ćwiek,Alina Gregori,1,multimodal communication
Aleksandra Ćwiek,Carina Lüke,1,multimodal communication
Aleksandra Ćwiek,Celina Isabelle von Eiff,1,multimodal communication
Aleksandra Ćwiek,Chiara Zulberti,1,animal vocal communication
Aleksandra Ćwiek,Josiah Nii Ashie Neequaye,1,linguistic communication
Aleksandra Ćwiek,Kathryn Barnes,1,linear mixed-effects models
