Researcher,Year,Title,Type,Abstract,Source,Authors,Institution,Topics,Affiliation Match
Federica Amici,2018,Social inhibition and behavioural flexibility when the context changes: a comparison across six primate species,article,"The ability to inhibit previously employed strategies and flexibly adjust behavioural responses to external conditions may be critical for individual survival. However, it is unclear which factors predict their distribution across species. Here, we investigated social inhibition and behavioural flexibility in six primate species (chimpanzees, bonobos, orangutans, gorillas, capuchin monkeys and spider monkeys) differing in terms of phylogenetic relatedness, foraging ecology and social organization. Depending on the social context, individuals could maximize their food intake by inhibiting the selection of a larger food reward in one condition (i.e. inhibition), but not in others, which required them to flexibly switching strategies across conditions (i.e. behavioural flexibility). Overall, our study revealed inter-specific differences in social inhibition and behavioural flexibility, which partially reflected differences in fission-fusion dynamics. In particular, orangutans and chimpanzees showed the highest level of inhibitory skills, while gorillas and capuchin monkeys showed the lowest one. In terms of behavioural flexibility, orangutans and spider monkeys were the best performers, while bonobos and capuchin monkeys were the worst ones. These results contribute to our understanding that inhibition and behavioural flexibility may be linked in more complex ways than usually thought, although both abilities play a crucial role in efficient problem solving.","<a href=""https://openalex.org/W2790575311"" target=""_blank"">OpenAlex</a>","Federica Amici, Josep Call, Julia Watzek, Sarah F. Brosnan, Filippo Aureli","Universidad Veracruzana, Max Planck Institute for Evolutionary Anthropology, Leipzig University, Georgia State University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2019,A meta-analysis of interindividual differences in innovation,article,Abstract not available,"<a href=""https://openalex.org/W2969833551"" target=""_blank"">OpenAlex</a>","Federica Amici, Anja Widdig, Julia Lehmann, Bonaventura Majolo","University of Lincoln, Max Planck Institute for Evolutionary Anthropology, University of Roehampton, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2022,"The social dynamics of complex gestural communication in great and lesser apes ( <i>Pan troglodytes</i> , <i>Pongo abelii, Symphalangus syndactylus</i> )",article,"Gestures play an essential role in primate communication. However, little is known about how complexity of gestural use (in terms of repertoire size, intentional use, flexibility and use of gestural sequences) relates to individual and dyadic measures of sociality and whether more complex gestural use is more effective in eliciting a response. We observed 19 captive chimpanzees ( Pan troglodytes ), 16 Sumatran orangutans ( Pongo abelii ) and 18 siamangs ( Symphalangus syndactylus ) to assess the complexity and effectiveness of their gestural use. We found that, beyond interspecies variation, the number of gesture types used in a dyad was higher when individuals had stronger social bonds; the probability of accounting for others' attention increased with age, especially for visual gestures; and sequences were more likely used by younger or socially less integrated individuals. In terms of effectiveness, older individuals and those using fewer sequences were more likely to be responded to, while across dyads, the probability of obtaining a response was higher when both individuals accounted for the other's attention and when they used fewer sequences. Overall, this confirms the link between sociality and complex gestural use and suggests that more complex forms of communication, at least in terms of intentional use, may be more effective at achieving communicative goals. This article is part of the theme issue ‘Cognition, communication and social bonds in primates’.","<a href=""https://openalex.org/W4290616153"" target=""_blank"">OpenAlex</a>","Federica Amici, Katja Liebal","Max Planck Institute for Evolutionary Anthropology, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2023,Innovation across 13 ungulate species: problem solvers are less integrated in the social group and less neophobic,article,"Innovation is the ability to solve new problems or find novel solutions to familiar problems, and it is known to provide animals with crucial fitness benefits. Although this ability has been extensively studied in some taxa, the factors that predict innovation within and across species are still largely unclear. In this study, we used a novel foraging task to test 111 individuals belonging to 13 ungulate species-a still understudied taxon. To solve the task, individuals had to open transparent and opaque cups with food rewards, by removing their cover. We assessed whether individual factors (neophobia, social integration, sex, age, rank) and socio-ecological factors (dietary breadth, fission-fusion dynamics, domestication, group size) predicted participation and performance in the task. Using a phylogenetic approach, we showed that success was higher for less neophobic and socially less integrated individuals. Moreover, less neophobic individuals, individuals of domesticated species and having higher fission-fusion dynamics were more likely to participate in the task. These results are in line with recent literature suggesting a central role of sociality and personality traits to successfully deal with novel challenges, and confirm ungulates as a promising taxon to test evolutionary theories with a comparative approach.","<a href=""https://openalex.org/W4362537521"" target=""_blank"">OpenAlex</a>","Álvaro L. Caicoya, Alina Schaffer, Ruben Holland, Lorenzo von Fersen, Montserrat Colell, Federica Amici","Max Planck Institute for Evolutionary Anthropology, Nuremberg Hospital, Universitat de Barcelona, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2019,The ability to recognize dog emotions depends on the cultural milieu in which we grow up,article,"Inter-specific emotion recognition is especially adaptive when species spend a long time in close association, like dogs and humans. Here, we comprehensively studied the human ability to recognize facial expressions associated with dog emotions (hereafter, emotions). Participants were presented with pictures of dogs, humans and chimpanzees, showing angry, fearful, happy, neutral and sad emotions, and had to assess which emotion was shown, and the context in which the picture had been taken. Participants were recruited among children and adults with different levels of general experience with dogs, resulting from different personal (i.e. dog ownership) and cultural experiences (i.e. growing up or being exposed to a cultural milieu in which dogs are highly valued and integrated in human lives). Our results showed that some dog emotions such as anger and happiness are recognized from early on, independently of experience. However, the ability to recognize dog emotions is mainly acquired through experience. In adults, the probability of recognizing dog emotions was higher for participants grown up in a cultural milieu with a positive attitude toward dogs, which may result in different passive exposure, interest or inclination toward this species.","<a href=""https://openalex.org/W2985626744"" target=""_blank"">OpenAlex</a>","Federica Amici, James O. Waterman, Christina Maria Kellermann, Karimullah Karimullah, Juliane Bräuer","University of Lincoln, Max Planck Institute for Evolutionary Anthropology, Max Planck Institute for the Science of Human History, Leipzig University",Human-Animal Interaction Studies,University of Leipzig
Federica Amici,2019,The word order of languages predicts native speakers’ working memory,article,"The relationship between language and thought is controversial. One hypothesis is that language fosters habits of processing information that are retained even in non-linguistic domains. In left-branching (LB) languages, modifiers usually precede the head, and real-time sentence comprehension may more heavily rely on retaining initial information in working memory. Here we presented a battery of working memory and short-term memory tasks to adult native speakers of four LB and four right-branching (RB) languages from Africa, Asia and Europe. In working memory tasks, LB speakers were better than RB speakers at recalling initial stimuli, but worse at recalling final stimuli. Our results show that the practice of parsing sentences in specific directions due to the syntax and word order of our native language not only predicts the way we remember words, but also other non-linguistic stimuli.","<a href=""https://openalex.org/W2914890743"" target=""_blank"">OpenAlex</a>","Federica Amici, Alejandro Sánchez-Amaro, Carla Sebastián‐Enesco, Trix Cacchione, Matthias Allritz, Juan Salazar-Bonet, Federico Rossano","Max Planck Institute for Evolutionary Anthropology, ISPA - Instituto Universitário, University of California, San Diego, Florida State University, University of Bern",Neurobiology of Language and Bilingualism,University of Leipzig
Federica Amici,2022,Compositionality in Primate Gestural Communication and Multicomponent Signal Displays,article,"Compositionality is the ability to combine meaningful elements into new combinations with novel meanings, and it has long been considered one of the main hallmarks of human communication. However, very few studies have addressed the compositional aspects of communication in species other than humans, although a comparative approach is essential to understand the evolutionary origins of human compositionality. We review previous research on compositionality in the gestural communication systems of nonhuman primates, with a special focus on the multicomponent aspects of compositionality. We start by discussing the importance of a comparative approach to study the evolution of human language and then compare the current state of the art on compositionality in the vocal, facial, and gestural communication systems of primates and other species. We further discuss alternative approaches to study compositionality in primates, which may help overcome some of the current methodological limitations in this research area. In particular, we 1) highlight the importance of interdisciplinary tools that facilitate the statistical identification of multicomponent and multimodal combinations of signals, 2) discuss different approaches to infer the meaning of signal combinations, with a special focus on the use of contextual cues and meta-communication, and 3) discuss temporal and intentional aspects of compositionality in primates. Finally, we outline possible lines of research for future studies in this area (e.g., more consistent use of terms across research areas, use of different methodological tools and larger datasets, inclusion of developmental approaches), which might shed light into the evolutionary origins of one of the most crucial properties of human communication.","<a href=""https://openalex.org/W4288096197"" target=""_blank"">OpenAlex</a>","Federica Amici, Linda Oña, Katja Liebal","Max Planck Institute for Human Development, Leipzig University",Animal Vocal Communication and Behavior,University of Leipzig
Federica Amici,2024,A longitudinal comparison of maternal behaviour in German urban humans (Homo sapiens) and captive chimpanzees (Pan troglodytes),article,"Comparative perspectives are crucial in the study of human development, yet longitudinal comparisons of humans and other primates are still relatively uncommon. Here, we combined theoretical frameworks from cross-cultural and comparative psychology, to study maternal style in 10 mother–infant pairs of German urban humans ( Homo sapiens ) and 10 mother–infant pairs of captive chimpanzees ( Pan troglodytes ), during the first year of infants’ development. We conducted focal observations of different behaviours (i.e. nursing, carrying, body contact, touching, grooming, restraining, approaching, leaving, rejection, aggression, mutual gaze, object stimulation), during natural interactions. Analyses revealed a more distal maternal style in WEIRD humans than in captive chimpanzees, with different behaviours being generally more common in one of the two species throughout development. For other behaviours (i.e. nursing), developmental trajectories differed between WEIRD humans and captive chimpanzees, although differences generally decreased through infants’ development. Overall, our study confirms functional approaches as a valid tool for comparative longitudinal studies.","<a href=""https://openalex.org/W4390941936"" target=""_blank"">OpenAlex</a>","Federica Amici, Katja Liebal, Manuela Ersson-Lembeck, Manfred Holodynski","Freie Universität Berlin, Leipzig University, University of Münster",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2024,Cognitive differences between two zebra species - the role of fission-fusion dynamics,preprint,"<title>Abstract</title> In animals, high fission-fusion dynamics characterize groups in which individuals frequently split into subgroups of different size and composition, and may be linked to the enhancement of cognitive skills. However, this hypothesis has rarely been tested. Here, we compared two zebra species with different levels of fission-fusion dynamics, Chapman’s zebras (<italic>Equus burchelli chapmanni</italic>) and Grévy’s zebras (<italic>Equus grevyi</italic>), to assess potential differences in their cognitive skills. We tested 8 individuals of each species in experimental tasks assessing their object permanence, short-term memory, inference and quantity discrimination skills. Our results showed that Grévy’s zebras, which are characterized by higher levels of fission-fusion dynamics, performed better than Chapman’s zebras in tasks requiring inference and quantity discrimination skills. These findings provide preliminary support to the hypothesis that high fission-fusion dynamics are linked to the enhancement of specific cognitive skills also in taxa other than primates.","<a href=""https://openalex.org/W4391383660"" target=""_blank"">OpenAlex</a>","Alina Schaffer, Álvaro L. Caicoya, Iker Loidi Vadillo, Anja Widdig, Ruben Holland, Federica Amici","Universitat de Barcelona, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2024,Variation in neophilia in seven primate species.,article,"Neophilia is a measure of individuals' attraction to novelty and is thought to provide important fitness benefits related to the acquisition of information and the ability to solve novel problems. Although neophilia is thought to vary across individuals and species, few studies have made direct comparisons to assess the factors that predict this variation. Here we operationalized neophilia as the probability of interacting with novel objects and compared the response to familiar and novel objects in 53 captive individuals belonging to seven different primate species: chimpanzees","<a href=""https://openalex.org/W4393949557"" target=""_blank"">OpenAlex</a>","Christoforos Souganidis, Miquel Llorente, Filippo Aureli, Josep Call, Federica Amici","University of Girona, University of St Andrews, Max Planck Institute for Evolutionary Anthropology, Liverpool John Moores University, Universidad Veracruzana, Leipzig University",Primate Behavior and Ecology,University of Leipzig
